ojibwe,english,word_with_ambiguity,fst_readings
Mii go ingoji niiyo-diba'iganeg ashi-aabita bi-waaseyaag.,About four-thirty in the morning it starts to get light.,"{'word_form': ""niiyo-diba'iganeg"", 'fst_analyses': [""niiyo-diba'igane+VII+Cnj+Pos+Neu+0SgSubj"", ""PVQnt/niiyo+diba'igane+VII+Cnj+Pos+Neu+0SgSubj"", ""niiyo-diba'igane+VII+Cnj+Pos+Neu+0PlSubj"", ""PVQnt/niiyo+diba'igane+VII+Cnj+Pos+Neu+0PlSubj""]}","[{'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'go', 'fst_analyses': ['go+PCDisc']}, {'word_form': 'ingoji', 'fst_analyses': ['ingoji+AVDDeg']}, {'word_form': ""niiyo-diba'iganeg"", 'fst_analyses': [""niiyo-diba'igane+VII+Cnj+Pos+Neu+0SgSubj"", ""PVQnt/niiyo+diba'igane+VII+Cnj+Pos+Neu+0SgSubj"", ""niiyo-diba'igane+VII+Cnj+Pos+Neu+0PlSubj"", ""PVQnt/niiyo+diba'igane+VII+Cnj+Pos+Neu+0PlSubj""]}, {'word_form': 'ashi-aabita', 'fst_analyses': ['ashi-aabita+NUM']}, {'word_form': 'bi-waaseyaag', 'fst_analyses': ['PVDir/bi+waaseyaa+VII+Cnj+Pos+Neu+0SgSubj', 'PVDir/bi+waaseyaa+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Odaanaang bimibatoowan odayan gaa-bimaagonebizod.,The snowmobiler's dog is running behind him.,"{'word_form': 'bimibatoowan', 'fst_analyses': ['bimibatoo+VAI+Ind+Pos+Neu+3PlObvSubj', 'bimibatoo+VAI+Ind+Pos+Neu+3SgObvSubj']}","[{'word_form': 'odaanaang', 'fst_analyses': ['odaanaang+ADVLoc']}, {'word_form': 'bimibatoowan', 'fst_analyses': ['bimibatoo+VAI+Ind+Pos+Neu+3PlObvSubj', 'bimibatoo+VAI+Ind+Pos+Neu+3SgObvSubj']}, {'word_form': 'odayan', 'fst_analyses': ['day+NAD+ObvPl+3SgProxPoss', 'day+NAD+ObvSg+3SgProxPoss', 'ayaan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'gaa-bimaagonebizod', 'fst_analyses': ['PVSub/gaa+bimaagonebizo+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Zhebaa ingii-pi-aazhoge'adoo. Ishkwaa-naawakweg niwii'-ani-aazhoge'adoo.,This morning I came across the bridge. This afternoon I'm going back across the bridge.,"{'word_form': 'ishkwaa-naawakweg', 'fst_analyses': ['ishkwaa-naawakwe+VII+Cnj+Pos+Neu+0SgSubj', 'PVLex/ishkwaa+naawakwe+VII+Cnj+Pos+Neu+0SgSubj', 'ishkwaa-naawakwe+VII+Cnj+Pos+Neu+0PlSubj', 'PVLex/ishkwaa+naawakwe+VII+Cnj+Pos+Neu+0PlSubj']}","[{'word_form': 'zhebaa', 'fst_analyses': ['zhebaa+ADVTmp']}, {'word_form': ""ingii-pi-aazhoge'adoo"", 'fst_analyses': [""PVTense/gii+PVDir/bi+aazhoge'adoo+VAI+Ind+Pos+Neu+1SgSubj""]}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'ishkwaa-naawakweg', 'fst_analyses': ['ishkwaa-naawakwe+VII+Cnj+Pos+Neu+0SgSubj', 'PVLex/ishkwaa+naawakwe+VII+Cnj+Pos+Neu+0SgSubj', 'ishkwaa-naawakwe+VII+Cnj+Pos+Neu+0PlSubj', 'PVLex/ishkwaa+naawakwe+VII+Cnj+Pos+Neu+0PlSubj']}, {'word_form': ""niwii'-ani-aazhoge'adoo"", 'fst_analyses': [""PVTense/wii'+PVDir/ani+aazhoge'adoo+VAI+Ind+Pos+Neu+1SgSubj""]}, {'word_form': '.', 'fst_analyses': []}]"
Ogii-aazhawishimaan ini nabagisagoon omaa daashkikwadininig gaa-onji-aazhawishkaad.,He put the board across the crack in the ice -- that's how he got across.,"{'word_form': 'ogii-aazhawishimaan', 'fst_analyses': ['PVTense/gii+aazhawishim+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+aazhawishim+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}","[{'word_form': 'ogii-aazhawishimaan', 'fst_analyses': ['PVTense/gii+aazhawishim+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+aazhawishim+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'ini', 'fst_analyses': []}, {'word_form': 'nabagisagoon', 'fst_analyses': ['nabagisag+NA+ObvSg', 'nabagisag+NA+ObvPl']}, {'word_form': 'omaa', 'fst_analyses': ['omaa+ADVLoc']}, {'word_form': 'daashkikwadininig', 'fst_analyses': ['daashkikwadin+VII+Cnj+Pos+Neu+0PlObvSubj', 'daashkikwadin+VII+Cnj+Pos+Neu+0SgObvSubj']}, {'word_form': 'gaa-onji-aazhawishkaad', 'fst_analyses': ['PVSub/gaa+PVRel/onji+aazhawishkaa+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+PVRel/onji+aazhawishkaa+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': '.', 'fst_analyses': []}]"
Boozaabikinigan ginigawinan waasigani-bimideng.,Mix the oil into the gas.,"{'word_form': 'ginigawinan', 'fst_analyses': ['ginigawinan+VTI+Imp+Sim+2SgSubj+0SgObj', 'ginigawinan+VTI+Imp+Sim+2SgSubj+0PlObj']}","[{'word_form': 'boozaabikinigan', 'fst_analyses': ['boozaabikinigan+NI+Sg']}, {'word_form': 'ginigawinan', 'fst_analyses': ['ginigawinan+VTI+Imp+Sim+2SgSubj+0SgObj', 'ginigawinan+VTI+Imp+Sim+2SgSubj+0PlObj']}, {'word_form': 'waasigani-bimideng', 'fst_analyses': ['waasigani-bimide+NI+Loc']}, {'word_form': '.', 'fst_analyses': []}]"
Wiin obimibizoni'aan iniw daashkiboojiganan.,He is operating the sawmill.,"{'word_form': 'wiin', 'fst_analyses': ['iiw+NAD+ObvPl+3SgProxPoss', 'iiw+NAD+ObvSg+3SgProxPoss', 'wiin+PRONPer', 'wiin+PCDisc']}","[{'word_form': 'wiin', 'fst_analyses': ['iiw+NAD+ObvPl+3SgProxPoss', 'iiw+NAD+ObvSg+3SgProxPoss', 'wiin+PRONPer', 'wiin+PCDisc']}, {'word_form': ""obimibizoni'aan"", 'fst_analyses': [""bimibizoni'+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj"", ""bimibizoni'+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj""]}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem']}, {'word_form': 'daashkiboojiganan', 'fst_analyses': ['daashkiboojigan+NA+ObvPl', 'daashkiboojigan+NA+ObvSg']}, {'word_form': '.', 'fst_analyses': []}]"
Aandi endazhi-aazhidebii'igeng. | Ganabaj imaa gichi-waakaa'iganing.,Where is the voting going to take place? | I think it's in the main building.,"{'word_form': ""gichi-waakaa'iganing"", 'fst_analyses': [""PNLex/gichi+waakaa'igan+NI+Loc"", ""PNLex/chi+waakaa'igan+NI+Loc+2SgPoss""]}","[{'word_form': 'aandi', 'fst_analyses': ['aandi+ADVInter']}, {'word_form': ""endazhi-aazhidebii'igeng"", 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}, {'word_form': '|', 'fst_analyses': []}, {'word_form': 'ganabaj', 'fst_analyses': ['ganabaj+ADVMan']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': ""gichi-waakaa'iganing"", 'fst_analyses': [""PNLex/gichi+waakaa'igan+NI+Loc"", ""PNLex/chi+waakaa'igan+NI+Loc+2SgPoss""]}, {'word_form': '.', 'fst_analyses': []}]"
Ogii-mayagipwaan iniwen waakoonsi-bakwezhiganan gaa-amwaad.,That fish-egg bread that he ate tasted strange to him.,"{'word_form': 'ogii-mayagipwaan', 'fst_analyses': ['PVTense/gii+mayagip+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+mayagip+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}","[{'word_form': 'ogii-mayagipwaan', 'fst_analyses': ['PVTense/gii+mayagip+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+mayagip+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'iniwen', 'fst_analyses': ['iniwen+PRONDem']}, {'word_form': 'waakoonsi-bakwezhiganan', 'fst_analyses': []}, {'word_form': 'gaa-amwaad', 'fst_analyses': ['PVSub/gaa+amo+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVSub/gaa+amwi+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVSub/gaa+amo+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj', 'PVSub/gaa+amwi+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': '.', 'fst_analyses': []}]"
Waakwaandesiing niin niwii'-ondab.,I want to sit at the end of the lodge.,"{'word_form': 'niin', 'fst_analyses': ['niin+PRONPer', 'iiw+NAD+ObvPl+1SgPoss', 'iiw+NAD+ObvSg+1SgPoss']}","[{'word_form': 'waakwaandesiing', 'fst_analyses': ['waakwaandesiing+ADVLoc']}, {'word_form': 'niin', 'fst_analyses': ['niin+PRONPer', 'iiw+NAD+ObvPl+1SgPoss', 'iiw+NAD+ObvSg+1SgPoss']}, {'word_form': ""niwii'-ondab"", 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
Ogii-kwekishimaan ini bashkweginoon. Ogii-aazhigijishimaan.,He changed the position of the hide. He turned it over on its back.,"{'word_form': 'ogii-kwekishimaan', 'fst_analyses': ['PVTense/gii+gwekishim+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+gwekishim+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}","[{'word_form': 'ogii-kwekishimaan', 'fst_analyses': ['PVTense/gii+gwekishim+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+gwekishim+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'ini', 'fst_analyses': []}, {'word_form': 'bashkweginoon', 'fst_analyses': ['bashkwegin+NI+Pl']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'ogii-aazhigijishimaan', 'fst_analyses': ['PVTense/gii+aazhigijishim+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+aazhigijishim+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': '.', 'fst_analyses': []}]"
Naazibiiwidoon waasigani-bimide-atoobaanan.,Take the gas tanks down to the lake.,"{'word_form': 'naazibiiwidoon', 'fst_analyses': ['naazibiiwidoon+VTI+Imp+Sim+2SgSubj+0SgObj', 'naazibiiwidoon+VTI+Imp+Sim+2SgSubj+0PlObj']}","[{'word_form': 'naazibiiwidoon', 'fst_analyses': ['naazibiiwidoon+VTI+Imp+Sim+2SgSubj+0SgObj', 'naazibiiwidoon+VTI+Imp+Sim+2SgSubj+0PlObj']}, {'word_form': 'waasigani-bimide-atoobaanan', 'fst_analyses': ['waasigani-bimide-atoobaan+NI+Pl']}, {'word_form': '.', 'fst_analyses': []}]"
Gii-mizhakiise iwe waasigan.,The lightning hit the ground.,"{'word_form': 'gii-mizhakiise', 'fst_analyses': ['PVTense/gii+mizhakiise+VAI+Ind+Pos+Neu+3SgProxSubj', 'PVTense/gii+mizhakiise+VII+Ind+Pos+Neu+0SgSubj']}","[{'word_form': 'gii-mizhakiise', 'fst_analyses': ['PVTense/gii+mizhakiise+VAI+Ind+Pos+Neu+3SgProxSubj', 'PVTense/gii+mizhakiise+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'iwe', 'fst_analyses': []}, {'word_form': 'waasigan', 'fst_analyses': ['waasigan+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
Apane mooshkinebadoon waasigani-bimide-biiwaabik.,Always keep your gas can full.,"{'word_form': 'mooshkinebadoon', 'fst_analyses': ['mooshkinebadoon+VTI+Imp+Sim+2SgSubj+0SgObj', 'mooshkinebadoon+VTI+Imp+Sim+2SgSubj+0PlObj']}","[{'word_form': 'apane', 'fst_analyses': ['apane+ADVTmp']}, {'word_form': 'mooshkinebadoon', 'fst_analyses': ['mooshkinebadoon+VTI+Imp+Sim+2SgSubj+0SgObj', 'mooshkinebadoon+VTI+Imp+Sim+2SgSubj+0PlObj']}, {'word_form': 'waasigani-bimide-biiwaabik', 'fst_analyses': ['waasigani-bimide-biiwaabik+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
Migoshkaajise awe waasamoowidaabaan aana-gii-adaaweyaan.,That car I bought has a lot of problems.,"{'word_form': 'waasamoowidaabaan', 'fst_analyses': ['waasamoowidaabaan+NA+ProxSg', 'waasamoowidaabaan+NI+Sg']}","[{'word_form': 'migoshkaajise', 'fst_analyses': ['migoshkaajise+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'awe', 'fst_analyses': []}, {'word_form': 'waasamoowidaabaan', 'fst_analyses': ['waasamoowidaabaan+NA+ProxSg', 'waasamoowidaabaan+NI+Sg']}, {'word_form': 'aana-gii-adaaweyaan', 'fst_analyses': ['PVTense/aana+PVTense/gii+adaawe+VAI+Cnj+Pos+Neu+1SgSubj', 'PVTense/aana+PVTense/gii+adaawen+VAIO+Cnj+Pos+Neu+1SgSubj+0SgObj', 'PVTense/aana+PVTense/gii+adaawen+VAIO+Cnj+Pos+Neu+1SgSubj+0PlObj']}, {'word_form': '.', 'fst_analyses': []}]"
Ogii-kwekinaan aana-gii-nanaa'isijigaadenig 'i waasechiganaabik.,He turned around the glass pane they had set.,"{'word_form': 'ogii-kwekinaan', 'fst_analyses': ['PVTense/gii+gwekin+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+gwekin+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj', 'PVTense/gii+gwekinan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}","[{'word_form': 'ogii-kwekinaan', 'fst_analyses': ['PVTense/gii+gwekin+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+gwekin+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj', 'PVTense/gii+gwekinan+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': ""aana-gii-nanaa'isijigaadenig"", 'fst_analyses': []}, {'word_form': ""'i"", 'fst_analyses': []}, {'word_form': 'waasechiganaabik', 'fst_analyses': ['waasechiganaabik+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
Gabe-dibik gii-ondendiwag igiw gaa-waaswaawaad.,The torchers were gone all night.,"{'word_form': 'gabe-dibik', 'fst_analyses': ['gabe-dibik+ADVTmp', 'PVLex/gabe+dibik+ADVTmp']}","[{'word_form': 'gabe-dibik', 'fst_analyses': ['gabe-dibik+ADVTmp', 'PVLex/gabe+dibik+ADVTmp']}, {'word_form': 'gii-ondendiwag', 'fst_analyses': ['PVTense/gii+ondendi+VAI+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': 'igiw', 'fst_analyses': ['igiw+PRONDem']}, {'word_form': 'gaa-waaswaawaad', 'fst_analyses': ['PVSub/gaa+waaswaa+VAI+Cnj+Pos+Neu+3PlProxSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Ningii-wanitoon niwaazakonebijigan wii-aabajitooyaan wii-waaswaayaan.,I've lost the flashlight I wanted to use torching.,"{'word_form': 'wii-aabajitooyaan', 'fst_analyses': ['PVTense/wii+aabajitoon+VTI+Cnj+Pos+Neu+1SgSubj+0PlObj', 'PVTense/wii+aabajitoon+VTI+Cnj+Pos+Neu+1SgSubj+0SgObj']}","[{'word_form': 'ningii-wanitoon', 'fst_analyses': ['PVTense/gii+wanitoon+VTI+Ind+Pos+Neu+1SgSubj+0SgObj']}, {'word_form': 'niwaazakonebijigan', 'fst_analyses': ['waazakonebijigan+NI+Sg+1SgPoss']}, {'word_form': 'wii-aabajitooyaan', 'fst_analyses': ['PVTense/wii+aabajitoon+VTI+Cnj+Pos+Neu+1SgSubj+0PlObj', 'PVTense/wii+aabajitoon+VTI+Cnj+Pos+Neu+1SgSubj+0SgObj']}, {'word_form': 'wii-waaswaayaan', 'fst_analyses': ['PVTense/wii+waaswaa+VAI+Cnj+Pos+Neu+1SgSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Bijiinag naagaj waaswaakang: onzaam oshki-dibikad.,We'll go shining later because it's too early in the night.,"{'word_form': 'oshki-dibikad', 'fst_analyses': ['oshki-dibikad+VII+Ind+Pos+Neu+0SgSubj', 'PVLex/oshki+dibikad+VII+Ind+Pos+Neu+0SgSubj']}","[{'word_form': 'bijiinag', 'fst_analyses': ['bijiinag+ADVTmp']}, {'word_form': 'naagaj', 'fst_analyses': ['naagaj+ADVQnt']}, {'word_form': 'waaswaakang:', 'fst_analyses': []}, {'word_form': 'onzaam', 'fst_analyses': ['onzaam+ADVQnt']}, {'word_form': 'oshki-dibikad', 'fst_analyses': ['oshki-dibikad+VII+Ind+Pos+Neu+0SgSubj', 'PVLex/oshki+dibikad+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Mii go ge ezhi-zikwaadang waasikwa'ang iniw omakizinan.,He is also spit-shining his shoes.,"{'word_form': ""waasikwa'ang"", 'fst_analyses': [""waasikwa'an+VTI+Cnj+Pos+Neu+3SgProxSubj+0SgObj"", ""waasikwa'an+VTI+Cnj+Pos+Neu+3SgProxSubj+0PlObj""]}","[{'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'go', 'fst_analyses': ['go+PCDisc']}, {'word_form': 'ge', 'fst_analyses': ['ge+ADVConj']}, {'word_form': 'ezhi-zikwaadang', 'fst_analyses': []}, {'word_form': ""waasikwa'ang"", 'fst_analyses': [""waasikwa'an+VTI+Cnj+Pos+Neu+3SgProxSubj+0SgObj"", ""waasikwa'an+VTI+Cnj+Pos+Neu+3SgProxSubj+0PlObj""]}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem']}, {'word_form': 'omakizinan', 'fst_analyses': ['makizin+NI+Pl+3SgProxPoss']}, {'word_form': '.', 'fst_analyses': []}]"
Ningii-pawaanig ningoding ji-aazhawinamawag anishinaabe-wiinzowin.,She dreamt of me passing my spirit name on to her.,"{'word_form': 'ji-aazhawinamawag', 'fst_analyses': ['PVTense/daa+aazhawinamaw+VTA+Cnj+Pos+Neu+1SgSubj+3SgProxObj', 'PVTense/ga+aazhawinamaw+VTA+Cnj+Pos+Neu+1SgSubj+3SgProxObj']}","[{'word_form': 'ningii-pawaanig', 'fst_analyses': ['PVTense/gii+bawaazh+VTA+Ind+Pos+Neu+3SgProxSubj+1SgObj']}, {'word_form': 'ningoding', 'fst_analyses': ['ningoding+ADVTmp']}, {'word_form': 'ji-aazhawinamawag', 'fst_analyses': ['PVTense/daa+aazhawinamaw+VTA+Cnj+Pos+Neu+1SgSubj+3SgProxObj', 'PVTense/ga+aazhawinamaw+VTA+Cnj+Pos+Neu+1SgSubj+3SgProxObj']}, {'word_form': 'anishinaabe-wiinzowin', 'fst_analyses': ['anishinaabe-wiinzowin+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
Ogii-aazhawishimaan ini nabgisagoon imaa daashkikwadininig gaa-onji-aazhawishkaad.,He put the board across the crack in the ice -- that's how he got across.,"{'word_form': 'ogii-aazhawishimaan', 'fst_analyses': ['PVTense/gii+aazhawishim+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+aazhawishim+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}","[{'word_form': 'ogii-aazhawishimaan', 'fst_analyses': ['PVTense/gii+aazhawishim+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/gii+aazhawishim+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'ini', 'fst_analyses': []}, {'word_form': 'nabgisagoon', 'fst_analyses': []}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'daashkikwadininig', 'fst_analyses': ['daashkikwadin+VII+Cnj+Pos+Neu+0PlObvSubj', 'daashkikwadin+VII+Cnj+Pos+Neu+0SgObvSubj']}, {'word_form': 'gaa-onji-aazhawishkaad', 'fst_analyses': ['PVSub/gaa+PVRel/onji+aazhawishkaa+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+PVRel/onji+aazhawishkaa+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': '.', 'fst_analyses': []}]"
Odaana-gii-wewebiniketawaan aana-wii-noogibinaad iniwen gaa-bimibizonid.,She tried waving his arms at the driver to stop him.,"{'word_form': 'odaana-gii-wewebiniketawaan', 'fst_analyses': ['PVTense/aana+PVTense/gii+wewebiniketaw+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/aana+PVTense/gii+wewebiniketaw+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}","[{'word_form': 'odaana-gii-wewebiniketawaan', 'fst_analyses': ['PVTense/aana+PVTense/gii+wewebiniketaw+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/aana+PVTense/gii+wewebiniketaw+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'aana-wii-noogibinaad', 'fst_analyses': ['PVTense/aana+PVTense/wii+noogibizh+VTA+Cnj+Pos+Neu+3SgProxSubj+3SgObvObj', 'PVTense/aana+PVTense/wii+noogibizh+VTA+Cnj+Pos+Neu+3SgProxSubj+3PlObvObj']}, {'word_form': 'iniwen', 'fst_analyses': ['iniwen+PRONDem']}, {'word_form': 'gaa-bimibizonid', 'fst_analyses': ['PVSub/gaa+bimibizo+VAI+Cnj+Pos+Neu+3PlObvSubj', 'PVSub/gaa+bimibizo+VAI+Cnj+Pos+Neu+3SgObvSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Bekaa bimibizon gaa-gikendanziwan zaaga'igan. Maagizhaa giga-bitaabikishin,Go slow when you don't know the lake. You might hit a reef.,"{'word_form': 'gaa-gikendanziwan', 'fst_analyses': ['PVSub/gaa+gikendam+VAI+Cnj+Neg+Neu+2SgSubj', 'PVSub/gaa+gikendan+VTI+Cnj+Neg+Neu+2SgSubj+0PlObj', 'PVSub/gaa+gikendan+VTI+Cnj+Neg+Neu+2SgSubj+0SgObj']}","[{'word_form': 'bekaa', 'fst_analyses': ['bekaa+ADVMan']}, {'word_form': 'bimibizon', 'fst_analyses': ['bimibizo+VAI+Imp+Sim+2SgSubj']}, {'word_form': 'gaa-gikendanziwan', 'fst_analyses': ['PVSub/gaa+gikendam+VAI+Cnj+Neg+Neu+2SgSubj', 'PVSub/gaa+gikendan+VTI+Cnj+Neg+Neu+2SgSubj+0PlObj', 'PVSub/gaa+gikendan+VTI+Cnj+Neg+Neu+2SgSubj+0SgObj']}, {'word_form': ""zaaga'igan"", 'fst_analyses': [""zaaga'igan+NI+Sg""]}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'maagizhaa', 'fst_analyses': ['maagizhaa+ADVMan']}, {'word_form': 'giga-bitaabikishin', 'fst_analyses': ['PVTense/ga+bitaabikishin+VAI+Ind+Pos+Neu+2SgSubj']}]"
Gaye giin na giwii-wiijiiw. Oodenaang niwii-izhaa.,Do you want to go with me? I'm going to town.,"{'word_form': 'giin', 'fst_analyses': ['giin+PRONPer', 'iiw+NAD+ObvPl+2SgPoss', 'iiw+NAD+ObvSg+2SgPoss']}","[{'word_form': 'gaye', 'fst_analyses': ['gaye+ADVConj']}, {'word_form': 'giin', 'fst_analyses': ['giin+PRONPer', 'iiw+NAD+ObvPl+2SgPoss', 'iiw+NAD+ObvSg+2SgPoss']}, {'word_form': 'na', 'fst_analyses': ['na+PCDisc']}, {'word_form': 'giwii-wiijiiw', 'fst_analyses': ['PVTense/wii+wiijiiw+VTA+Ind+Pos+Neu+2SgSubj+1SgObj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'oodenaang', 'fst_analyses': []}, {'word_form': 'niwii-izhaa', 'fst_analyses': ['PVTense/wii+izhaa+VAI+Ind+Pos+Neu+1SgSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Gaye giin imaa gidoozhibii'igaaz.,You are on the list too.,"{'word_form': 'giin', 'fst_analyses': ['giin+PRONPer', 'iiw+NAD+ObvPl+2SgPoss', 'iiw+NAD+ObvSg+2SgPoss']}","[{'word_form': 'gaye', 'fst_analyses': ['gaye+ADVConj']}, {'word_form': 'giin', 'fst_analyses': ['giin+PRONPer', 'iiw+NAD+ObvPl+2SgPoss', 'iiw+NAD+ObvSg+2SgPoss']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': ""gidoozhibii'igaaz"", 'fst_analyses': [""ozhibii'igaazo+VAI+Ind+Pos+Neu+2SgSubj""]}, {'word_form': '.', 'fst_analyses': []}]"
Mii go bezhigwan enanaamoyaan gaye giin enanaamoyin.,I'm breathing the same way you are breathing.,"{'word_form': 'giin', 'fst_analyses': ['giin+PRONPer', 'iiw+NAD+ObvPl+2SgPoss', 'iiw+NAD+ObvSg+2SgPoss']}","[{'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'go', 'fst_analyses': ['go+PCDisc']}, {'word_form': 'bezhigwan', 'fst_analyses': ['bezhigwan+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'enanaamoyaan', 'fst_analyses': []}, {'word_form': 'gaye', 'fst_analyses': ['gaye+ADVConj']}, {'word_form': 'giin', 'fst_analyses': ['giin+PRONPer', 'iiw+NAD+ObvPl+2SgPoss', 'iiw+NAD+ObvSg+2SgPoss']}, {'word_form': 'enanaamoyin', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]"
Onzaamiinowag awesiinyag noopimiing. Gaye giin gidaa-andawenjige.,There's a lot of animals in the woods. You too should go hunting.,"{'word_form': 'giin', 'fst_analyses': ['giin+PRONPer', 'iiw+NAD+ObvPl+2SgPoss', 'iiw+NAD+ObvSg+2SgPoss']}","[{'word_form': 'onzaamiinowag', 'fst_analyses': ['onzaamiino+VAI+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': 'awesiinyag', 'fst_analyses': ['awesiinh+NA+ProxPl']}, {'word_form': 'noopimiing', 'fst_analyses': ['noopimiing+ADVLoc']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'gaye', 'fst_analyses': ['gaye+ADVConj']}, {'word_form': 'giin', 'fst_analyses': ['giin+PRONPer', 'iiw+NAD+ObvPl+2SgPoss', 'iiw+NAD+ObvSg+2SgPoss']}, {'word_form': 'gidaa-andawenjige', 'fst_analyses': ['PVTense/daa+andawenjige+VAI+Ind+Pos+Neu+2SgSubj']}, {'word_form': '.', 'fst_analyses': []}]"
